Account Name,No. of Employees,Website,HQ Billing Country,Billing State/Province,Billing City,Billing Street,Billing Zip/Postal Code,Industry,LinkedIn Company Id,Account LinkedIn URL,Core Account Fit Tier
Platinum International Consultants,105,platinumic.com,,Texas,Houston,,,Professional Services,,https://www.linkedin.com/company/platinum-international-consultants,Tier 3
Advantage Metals Recycling A Nucor Company,106,advantagerecycling.com,,Missouri,Kansas City,510 Walnut Street,64106,Wholesale Recyclable Materials,1559718,https://www.linkedin.com/company/advantage-metals-recycling-llc,Tier 3
Sanderson Pipe,106,sandersonpipe.com,,Tennessee,Clarksville,1 Enterprise Blvd,32087,Plastics Manufacturing,2322437,https://www.linkedin.com/company/sanderson-pipe-corporation,Tier 3
Excelsior Medical,106,excelsiormedical.com,,New Jersey,Neptune City,Heck Avenue,7753,Medical Equipment Manufacturing,135942,https://www.linkedin.com/company/excelsior-medical-corp,Tier 3
Challenge Charter Schools,106,challengecharterschools.org,,New York,New York,,,Education Administration Programs,,https://www.linkedin.com/company/challenge-preparatory,Tier 3
Delaware County Christian School,106,dccs.org,,Pennsylvania,Newtown Square,462 Malin Road,19073,Primary and Secondary Education,10928046,https://www.linkedin.com/company/delaware-county-christian-school,Tier 3
First Fidelity Bank,106,ffb-sd.com,,South Dakota,Burke,,,Banking,59108722,https://www.linkedin.com/company/first-fidelity-bank-burke-sd-,Tier 3
First Baptist Church of Jacksonville,107,fbcjax.com,,Florida,Jacksonville,125 W Ashley St,32202,Religious Institutions,778675,https://www.linkedin.com/company/first-baptist-church-of-jacksonville,Tier 3
Keller Williams Kansas City Metro,107,serenabales.kwrealty.com,,Kansas,Prairie Village,,,Real Estate Agents and Brokers,15563166,https://www.linkedin.com/company/keller-williams-kansas-city-metro,Tier 3
Mary Help Of Christians Catholic School,107,mhocschool.org,,Florida,Pompano Beach,,,Education Administration Programs,,https://www.linkedin.com/company/mary-help-of-christians-catholic-school,Tier 3
Southwestern Interiors,107,southwesterninteriors.com,,Texas,,,,Construction,,https://www.linkedin.com/company/southwestern-carpets-ltd.,Tier 3
American Auto,108,americanauto.net,,Florida,,,,Motor Vehicle Manufacturing,1733922,https://www.linkedin.com/company/american-auto,Tier 3
MicroData,108,microdata.com,,Massachusetts,Beverly,,1915,IT Services and IT Consulting,23909,https://www.linkedin.com/company/microdata,Tier 3
National Biological,108,natbiocorp.com,,Ohio,Beachwood,23700 Mercantile Rd,44122,Medical Equipment Manufacturing,26482648,https://www.linkedin.com/company/natbiocorp,Tier 3
Southern Management And Development LP,108,smdproperty.com,,Florida,Boca Raton,4800 N Federal Hwy Ste 307D,,Real Estate,,https://www.linkedin.com/company/southern-management-&-development-l.p.,Tier 3
Gotham Writers Workshop,109,writingclasses.com,,New York,New York,"555 8th Ave, Ste 1402",10018,Writing and Editing,484091,https://www.linkedin.com/company/gotham-writers'%E2%80%8B-workshop,Tier 3
Schramm,109,schramminc.com,,Pennsylvania,,,,Oil and Gas,147509,https://www.linkedin.com/company/schramm-inc,Tier 3
Marina Maher Communications,110,hellommc.com,,New York,New York,830 3rd Avenue,10022,Public Relations and Communications Services,19243,https://www.linkedin.com/company/marina-maher-communications,Tier 3
Rich Harvest Farms,110,richharvestfarms.com,,Illinois,Sugar Grove,2330 Granart Road,60554,Golf Courses and Country Clubs,741198,https://www.linkedin.com/company/rich-harvest-farms,Tier 3
Teal Construction Company,110,tealcon.com,,Texas,Houston,1335 Brittmoore Rd.,77043,Nonresidential Building Construction,1888304,https://www.linkedin.com/company/tealconstruction,Tier 3
Farmers & Merchants Bank Ne,110,bankfmb.com,,Nebraska,Milford,3015 2nd Ave,68847,Banking,16226794,https://www.linkedin.com/company/farmers-&-merchants-bank-ne,Tier 3
"Galleon Enterprises, Inc",110,gallagherspizza.com,,Wisconsin,Green Bay,164 N Broadway,,Food and Beverage Services,,https://www.linkedin.com/company/gallagherspizza,Tier 3
"SC Of Upstate NY, Inc.",110,smokerschoiceusa.com,,New York,Amsterdam,4803 State Highway 30 Ste 4,,Tobacco Manufacturing,,https://www.linkedin.com/company/sc-choice-management-corp-,Tier 3
Legacy Healthcare,111,ecipharma.com,,Florida,Port St Lucie,,,Pharmaceutical Manufacturing,6816983,https://www.linkedin.com/company/eci-pharmaceuticals,Tier 3
Omi Industries,112,omi-industries.com,,Illinois,Palatine,220 N Smith St Ste 315,60067,Chemical Manufacturing,915044,www.linkedin.com/company/omi-industries,Tier 3
Appliance Warehouse of America,112,appliancewhse.com,,Texas,,,,Real Estate and Equipment Rental Services,217072,https://www.linkedin.com/company/appliance-warehouse-of-america-inc.,Tier 3
Saybrook Point Resort & Marina,112,saybrook.com,,Connecticut,Old Saybrook,2 Bridge Street,6475,Hospitality,9486382,https://www.linkedin.com/company/saybrook-point-inn-&-spa,Tier 3
Stoneleigh-burnham School,112,sbschool.org,,Massachusetts,Greenfield,574  BERNARDSTON RD,1301,Fundraising,,https://www.linkedin.com/company/stoneleigh-burnham-school,Tier 3
Christophe Harbour,112,christopheharbour.com,,Ohio,Peninsula,,,Real Estate,,https://www.linkedin.com/company/christophe-harbour-development-company/?originalSubdomain=kn,Tier 3
Flat Rate Moving,113,flatrate.com,,New York,New York,555 W 25TH ST,33169,Truck Transportation,538012,https://www.linkedin.com/company/flatrate-moving-miami,Tier 3
Company Store,114,thecompanystore.com,,New Jersey,Weehawken,,,Mattress and Blinds Manufacturing,10110322,https://www.linkedin.com/company/the-company-store,Tier 3
Bark Avenue,114,barkavenueomaha.com,,Michigan,Utica,,,Animal Feed Manufacturing,9569260,https://www.linkedin.com/company/bark-avenue,Tier 3
SCA Technologies,115,scatech.com,,Pennsylvania,Pittsburgh,681 Andersen Dr. Ste. 550,15220,Software Development,27138,http://www.linkedin.com/company/sca-technologies,Tier 3
State Bank of Lizton,115,statebank1910.bank,,Indiana,Avon,8598 E Us Hwy 36,46123,Banking,,https://www.linkedin.com/company/statebank1910,Tier 3
Flat Top Grill,115,flattopgrill.com,,Illinois,Chicago,30 S Wabash Ave,60603,Food and Beverage Services,,https://www.linkedin.com/company/flat-top-grill,Tier 3
"Trinity Manufacturing, Inc.",115,trinitymfg.com,,North Carolina,,,,Chemical Manufacturing,,https://www.linkedin.com/company/trinity-manufacturing-inc.,Tier 3
"LAWLER HOLDING COMPANY, LLC",115,2ndwindhvac.com,,South Carolina,Columbia,6130 Shakespeare Rd,,Consumer Services,,https://www.linkedin.com/company/2nd-wind,Tier 3
American Beverage Marketers,116,abmcocktails.com,,Indiana,New Albany,810 Progress Blvd,47150,Wholesale Alcoholic Beverages,110637,https://www.linkedin.com/company/american-beverage-marketers,Tier 3
CoAction,116,nwi-ca.com,,Indiana,Crown Point,5240 Fountain Drive,46307,Community Services,659792,https://www.linkedin.com/company/northwest-indiana-community-action-corporation,Tier 3
Linwood Center,116,linwoodcenter.org,,Maryland,Ellicott City,Martha Bush Drive,21043,Individual and Family Services,1952353,https://www.linkedin.com/company/linwood-center-inc.,Tier 3
Genfed Financial Credit Union,116,genfed.com,,Ohio,Akron,,,Banking,8188235,https://www.linkedin.com/company/genfed-credit-union,Tier 3
Inspired Living,116,inspiredlivingllc.net,,North Carolina,Raleigh,,,Mental Health Care,9953471,https://www.linkedin.com/company/inspired-living-llc,Tier 3
"Southern Controls, Inc.",116,site.southerncontrols.com,,Alabama,Montgomery,3511 Wetumpka Hwy,,Automation Machinery Manufacturing,,https://www.linkedin.com/company/southern-controls-inc,Tier 3
Gator Cases,117,gatorcases.com,,Florida,Lutz,19982 North Dale Mabry Highway,33548,Musicians,313928,https://www.linkedin.com/company/gator-cases-inc-/about/,Tier 3
Termac,117,termac.com,,Pennsylvania,Philadelphia,7330 Tulip St,19136,Hospitality,,https://www.linkedin.com/company/termac-corporation,Tier 3
Miltec,118,mil-tec.com,,Alabama,Huntsville,,,Aviation and Aerospace Component Manufacturing,83220,https://www.linkedin.com/company/miltec,Tier 3
Police Security Flashlights,118,policesecurity.com,,Florida,Atlanta,8480 Holcomb Bridge Rd Ste 100,30022,Manufacturing,2962458,https://www.linkedin.com/company/police-security-flashlights,Tier 3
Cardinal Management Group,118,cardinalmanagementgroup.com,,Virginia,Woodbridge,4330 Prince William Parkway,22192,Real Estate,4473487,https://www.linkedin.com/company/cardinal-management-group-va,Tier 3
G. A. Wintzer & Son,118,gawintzer.com,,Ohio,Wapakoneta,,,Food and Beverage Manufacturing,,https://www.linkedin.com/company/g.-a.-wintzer-&-son-co.,Tier 3
Superior Painting,118,ck.page,,South Carolina,,,,Construction,,https://www.linkedin.com/company/superior-painting,Tier 3
Giant Machines,119,giantmachines.com,,New York,New York,1 Liberty Street,10006,Software Development,3201707,https://www.linkedin.com/company/giantmachines,Tier 3
Fchc,119,fallshospital.com,,Texas,Marlin,,,Hospitals and Health Care,7019568,https://www.linkedin.com/company/fchc,Tier 3
Seitel,119,seitel.com,,Texas,Houston,10811 South Westview Circle Drive,77043,Professional Services,,https://www.linkedin.com/company/seitel,Tier 3
Passage Foods,119,passagefoods.com,,Tennessee,Columbia,,,Consumer Services,,linkedin.com/company/passage-foods,Tier 3
Vogel Law Firm,120,vogellaw.com,,North Dakota,Fargo,,58702,Law Practice,86369,https://www.linkedin.com/company/vogel-law-firm,Tier 3
Forte Residential  and Forte Home Health Care,120,forteresidential.org,,Indiana,Warsaw,"120 S Lake St, Ste 100",46580,Individual and Family Services,15609196,https://www.linkedin.com/company/forte-residential-inc.,Tier 3
Cusano's Italian Bakery,120,cusanos.com,,Florida,Pompano Beach,5480 W Hillsboro Blvd Ste 1,33073,Baked Goods Manufacturing,1068752,https://www.linkedin.com/company/cusano's-italian-bakery,Tier 3
Montevideo Publishing Co,120,montenews.com,,Minnesota,Montevideo,223 S 1St St,,Newspaper Publishing,,https://www.linkedin.com/company/montevideo-publishing-co,Tier 3
"Paul's Auto Yard, Inc.",120,paulsautosalvage.com,,Indiana,Westville,651 W State Road 2,,Wholesale Motor Vehicles and Parts,,https://www.linkedin.com/company/rochester-auto-llc-dba-paul-s-auto-yard,Tier 3
"Choice U.S.A. Beverage, Inc.",120,choiceusabeverage.com,,North Carolina,Lowell,603 Groves St,,Food and Beverage Services,,https://www.linkedin.com/company/choice-usa-beverage-inc,Tier 3
"PINCHERS CRAB SHACK OF DOWNTOWN FT MYERS, INC",120,pinchersusa.com,,Florida,Fort Myers,2360 W First St,,Food and Beverage Services,,https://www.linkedin.com/company/pinchers,Tier 3
Range Mental Health Center,121,rangementalhealth.org,,Minnesota,Hibbing,624 13Th St. S,55792,Mental Health Care,6800083,https://www.linkedin.com/company/range-mental-health-center,Tier 3
Stuart Country Day School Of The Sacred Heart,121,stuartschool.org,,New Jersey,Princeton,,,Primary and Secondary Education,745922,https://www.linkedin.com/company/stuart-country-day-school-of-the-sacred-heart,Tier 3
Air Mechanical,122,airmechanical.com,,Minnesota,Ham Lake,16411 Aberdeen Street Northeast,55304,Building Equipment Contractors,904753,https://www.linkedin.com/company/air-mechanical-inc.,Tier 3
Briar Patch,122,briarpatchrestaurant.com,,Georgia,Hiram,,,Hospitals and Health Care,9516332,https://www.linkedin.com/company/briar-patch,Tier 3
Spectra Wood,123,spectrawood.com,,Pennsylvania,State College,,,Furniture and Home Furnishings Manufacturing,86944665,https://www.linkedin.com/company/spectrawood,Tier 3
Collin Street Bakery,124,collinstreet.com,,Texas,Corsicana,401 West 7th Avenue,75110,Food and Beverage Services,304525,linkedin.com/company/304525,Tier 3
"Associated Management, Ltd.",125,amlapartments.com,,Arkansas,North Little Rock,3501 Bay Oaks Dr,,Real Estate,,,Tier 3
"Turner Development Co., Inc.",125,duallanes.com,,Maryland,Hagerstown,17325 Virginia Ave,,Wellness and Fitness Services,,https://www.linkedin.com/company/turner-bowling-center,Tier 3
University Club of Chicago,126,ucco.com,,,Chicago,76 East Monroe Street,60603,Civic and Social Organizations,123696,https://www.linkedin.com/company/university-club-of-chicago,Tier 3
Art Academy Of Cincinnati,126,artacademy.edu,,Ohio,Cincinnati,[:],45202-1706,Higher Education,111193,https://www.linkedin.com/company/art-academy-of-cincinnati,Tier 3
Brown College,126,browncollege.edu,,Minnesota,St Paul,,,Higher Education,19907,https://www.linkedin.com/company/brown-college,Tier 3
Hillsdale Local School District,126,hillsdale.k12.oh.us,,Ohio,Jeromesville,479 Township Road 1902,,Education,,https://www.linkedin.com/company/hillsdale-high-school-12,Tier 3
Orion Associates,127,orionassoc.net,,Minnesota,Golden Valley,9400 Golden Valley Road,55427,Business Consulting and Services,3021414,https://www.linkedin.com/company/orion-associates,Tier 3
Sun Motor Cars,127,sunmotorcars.com,,Pennsylvania,Mechanicsburg,6677 Carlisle Pike,17050,Retail Motor Vehicles,638331,https://www.linkedin.com/company/sun-motor-cars-inc.,Tier 3
Midland Information Resources,127,midlandcorp.com,,Iowa,Davenport,,,Printing Services,83890,https://www.linkedin.com/company/midland-information-resources,Tier 3
Tornado Bus Company,127,tornadobus.com,,Texas,Dallas,8630 E R L Thornton Fwy,75201,Ground Passenger Transportation,80344547,https://www.linkedin.com/company/tornadobuscompany,Tier 3
Legacy Church,128,legacychurch.cc,,District of Columbia,,,,Non-profit Organizations,,https://www.linkedin.com/company/legacy-church,Tier 3
County of Beaver,128,beaverpl.okpls.org,,Oklahoma,Beaver,111 W 2Nd St,,Technology Information and Internet,,https://www.linkedin.com/company/oklahoma-department-of-libraries,Tier 3
Rws Entertainment Group,129,experiencerws.com,,New York,New York,,,Entertainment Providers,2835531,https://www.linkedin.com/company/rwsentertainmentgroup,Tier 3
"BSFC, LLC",129,ballreich.com,,Ohio,Tiffin,186 Ohio Ave,,Food and Beverage Manufacturing,,https://www.linkedin.com/company/ballreich-bros.-inc.,Tier 3
Dauphin County Tech School,130,dcts.org,,Pennsylvania,Harrisburg,,,Primary and Secondary Education,775464,https://www.linkedin.com/company/dauphin-county-tech-school,Tier 3
Otscon,131,otscon.com,,Missouri,Columbia,50 North Rangeline Road,65201,Motor Vehicle Manufacturing,3899515,https://www.linkedin.com/company/otscon-inc,Tier 3
"Quaint Oak Mortgage, LLC",131,quaintoakmortgage.com,,Pennsylvania,Southampton,501 Knowles Ave,,Financial Services,,https://www.linkedin.com/company/quaint-oak-mortgage,Tier 3
Mercy Academy,132,mercyacademy.com,,Kentucky,Louisville,5801 Fegenbush Ln,40228,Higher Education,929144,https://www.linkedin.com/company/our-lady-of-mercy-academy,Tier 3
Washington Ballet,133,washingtonballet.org,,District of Columbia,Washington,3515 Wisconsin Avenue Northwest,20016,Performing Arts,57497,https://www.linkedin.com/company/the-washington-ballet,Tier 3
Camp Ozark,133,campozark.com,,Arkansas,Mount Ida,155 Camp Ozark Drive,71957,Recreational Facilities,6240621,https://www.linkedin.com/company/camp-ozark,Tier 3
Ntec,134,ntec.net,,Wisconsin,Frisco,,,Telecommunications Carriers,1137387,https://www.linkedin.com/company/nelson-telephone-cooperative,Tier 3
Lewith & Freeman Real Estate,134,lewith-freeman.com,,Pennsylvania,Shavertown,424 Wyoming Avenue,18704,Real Estate Agents and Brokers,2473256,https://www.linkedin.com/company/lewith-&-freeman-real-estate,Tier 3
Lexington Sporting Club,134,lexsporting.com,,Kentucky,Lexington,810 Bull Lea Run,40511,Sports Teams and Clubs,82779626,https://www.linkedin.com/company/lexington-sporting-club,Tier 3
Lamettry's Collisionâ® Glass and More,135,lamettrys.com,,Minnesota,Inver Grove Heights,1100 Silver Lake Rd NW,55077,Motor Vehicle Manufacturing,836073,https://www.linkedin.com/company/lamettrys-collision,Tier 3
Bogin Munns & Munns,135,boginmunns.com,,Florida,Orlando,1000 Legion Pl,32801,Law Practice,2103662,https://www.linkedin.com/company/bogin-munns,Tier 3
Poolsure An Aquasol Company,135,poolsure.com,,Texas,Houston,,,Water Supply and Irrigation Systems,1938535,https://www.linkedin.com/company/poolsure,Tier 3
Maine Community College System,135,me.edu,,Maine,Augusta,,,Higher Education,1284816,https://www.linkedin.com/company/maine-community-college-system,Tier 3
"Tosoh Bioscience, Inc.",135,diagnostics.us.tosohbioscience.com,,Ohio,,,,Biotechnology Research,,https://www.linkedin.com/company/tosoh-bioscience-inc.,Tier 3
Calico Rock School District,135,pirates.k12.ar.us,,Arkansas,Calico Rock,301 College St,,Education,,https://www.linkedin.com/company/calico-rock-high-school,Tier 3
Burger Boat Company,136,burgerboat.com,,Wisconsin,Manitowoc,1811 Spring St.,54220,Shipbuilding,295633,https://www.linkedin.com/company/burger-boat-company,Tier 3
Rippowam Cisqua School,136,rcsny.org,,New York,Bedford,439 Cantitoe Street,10506,Primary and Secondary Education,6129520,https://www.linkedin.com/company/rippowam-cisqua-school,Tier 3
Navarro & Wright Consulting Engineers,137,navarrowright.com,,Pennsylvania,Camp Hill,151 Reno Ave.,17070,Civil Engineering,496728,http://www.linkedin.com/company/navarro-&-wright-consulting-engineers-inc-,Tier 3
Eurofins Testamerica,137,eurofinsus.com,,Ohio,North Canton,,17604,Environmental Services,29289,https://www.linkedin.com/company/eurofinstestamerica,Tier 3
Safehome,137,safehome-ks.org,,Kansas,Overland Park,PO Box 4563,66204,Community Services,298640,https://www.linkedin.com/company/safehome,Tier 3
Curtis Metal Finishing Group,137,curtismetal.com,,Michigan,Madison Heights,6645 Sims Dr,48313,Motor Vehicle Manufacturing,152259,https://www.linkedin.com/company/curtis-metal-finishing-group,Tier 3
Premier Pan Co,137,premierpan.com,,Pennsylvania,Crescent,33 McGovern Boulevard,15046,Warehousing and Storage,3929535,https://www.linkedin.com/company/premier-pan-co-inc,Tier 3
Biolife,137,biolifedairy.com,,New York,Brooklyn,,,Wholesale Food and Beverage,42390371,https://www.linkedin.com/company/biolifedaily,Tier 3
Sollars and Associates,138,sollarsassociates.com,,Michigan,Birmingham,725 South Adams Road #235,48009,Mental Health Care,6647126,https://www.linkedin.com/company/sollars-and-associates---integrative-counseling-and-psychological-services/,Tier 3
Sheely's Furniture & Appliance,138,sheelys.com,,Ohio,North Lima,,,Furniture and Home Furnishings Manufacturing,65817324,https://www.linkedin.com/company/sheelysfurniture,Tier 3
Crystal Farms Dairy Company,139,crystalfarmscheese.com,,Minnesota,Minnetonka,,,Dairy Product Manufacturing,33432830,https://www.linkedin.com/company/crystal-farms-refrigerated-dairy-company,Tier 3
Uga Miracle,139,ugamiracle.org,,Georgia,Athens,,,Philanthropic Fundraising Services,2922086,https://www.linkedin.com/company/uga-miracle,Tier 3
New England Development,140,nedevelopment.com,,Massachusetts,Boston,75 Park Plz,2116,Real Estate,1540282,https://www.linkedin.com/company/new-england-development,Tier 3
Medeco,140,medeco.com,,Virginia,Salem,3075 PO Box,24153,Construction Hardware Manufacturing,69027923,https://www.linkedin.com/company/medecolocks,Tier 3
Keller Williams Elevate,140,elevate.yourkwoffice.com,,Ohio,Strongsville,,,Real Estate Agents and Brokers,70429518,https://www.linkedin.com/company/kwelevate,Tier 3
Austin Traffic Signal Constr,140,atscc.com,,Texas,Pflugerville,,,Construction,,https://www.linkedin.com/company/austin-traffic-signal-constr/,Tier 3
"Great Bay Hot Tub Company, Inc.",140,selectwood.com,,New Hampshire,Portsmouth,275 Constitution Ave,,Real Estate,,https://www.linkedin.com/company/select-wood-products,Tier 3
Gorman Management Company,140,gormanmanagementco.com,,Oklahoma,Bartlesville,398060 W 2200 Rd,,Real Estate,,,Tier 3
Suny Sullivan,141,sunysullivan.edu,,New York,Loch Sheldrake,,,Higher Education,10887294,https://www.linkedin.com/company/suny-sullivan,Tier 3
E-t-a Engineering Technology,142,e-t-a.com,,Illinois,Mount Prospect,1551 Bishop Court,60056,Appliances Electrical and Electronics Manufacturing,58738,https://www.linkedin.com/company/e-t-a-circuit-breakers,Tier 3
Green Room,143,thegreenroom-waconia.com,,Minnesota,Waconia,,,Food and Beverage Services,431020,https://www.linkedin.com/company/the-green-room,Tier 3
North Reading Public Schools,143,north-reading.k12.ma.us,,Massachusetts,North Reading,,1864,Higher Education,6791713,https://www.linkedin.com/company/north-reading-public-schools,Tier 3
Unity World Headquarters At Unity Village,145,unity.org,,Missouri,Lees Summit,3597 Pkwy. Ln,30092,Religious Institutions,261964,https://www.linkedin.com/company/unity-world-headquarters-at-unity-village,Tier 3
Corporate Caterers,145,corpcaterers.com,,Florida,Miami,13335 Southwest 124th Street,33186,Food and Beverage Services,1503887,https://www.linkedin.com/company/corporate-caterers,Tier 3
Deutsch Kerrigan,146,deutschkerrigan.com,,Louisiana,New Orleans,755 Magazine Street,70130,Law Practice,142521,https://www.linkedin.com/company/deutsch-kerrigan,Tier 3
Dow Credit Union,146,dowcreditunion.org,,Michigan,Midland,3457 Deer Valley Rd,94531,Financial Services,10310555,https://www.linkedin.com/company/dow-chemical-employees'%E2%80%8B-credit-union,Tier 3
Day & Night,146,dayandnight.com,,Texas,-,,,Printing Services,3799789,https://www.linkedin.com/company/day-and-night-printing,Tier 3
Profoto,147,profoto.com,,New Jersey,Stockholm,57a Landsvägen,,Wholesale Photography Equipment and Supplies,70738,https://www.linkedin.com/company/profoto,Tier 3
Healthcare Access Maryland,148,hcamaryland.org,,Maryland,Baltimore,201 East Baltimore Street,21202,Non-profit Organizations,,https://www.linkedin.com/company/healthcare-access-maryland,Tier 3
Southern Ionics,149,southernionics.com,,Mississippi,West Point,579 Commerce St.,39773,Chemical Manufacturing,2043815,https://www.linkedin.com/company/southernionics,Tier 3
Versailles Exempted Village School,149,versailles.k12.oh.us,,Ohio,Versailles,459 S Center St,,Education,,https://www.linkedin.com/company/versailles-high-school-28,Tier 3
"Cass Screw Machine Products, LLC",149,cassprecisionmachining.com,,Minnesota,Minneapolis,4800 Lilac Dr N,55429,Automation Machinery Manufacturing,,https://www.linkedin.com/company/cass-precision-machining,Tier 3
NTG Air and Ocean,149,ntgairocean.comand www.ariesgl.com,,New York,,,,Transportation Logistics and Storage,,https://www.linkedin.com/company/aries-global-logistics,Tier 3
Mcminn County Schools,150,mcminnschools.com,,Tennessee,Athens,,37303,Primary and Secondary Education,70775402,https://www.linkedin.com/company/mcminn-county-schools,Tier 3
Collib,150,collib.com,,North Carolina,Dunn,,,IT Services and IT Consulting,,https://www.linkedin.com/company/collib-inc,Tier 3
Heidelberg Pain Consortium,150,sfb1158.de,,Illinois,Chicago,,,Professional Services,,https://www.linkedin.com/company/sfb1158,Tier 3
EAST MARSHALL COMMUNITY SCHOOL DISTRICT,150,emmustangs.org,,Iowa,Gilman,204 W Center St,,Primary and Secondary Education,,https://www.linkedin.com/company/east-marshall-senior-high-school,Tier 3
Perry Central Community School District,150,pccs.k12.in.us,,Indiana,Leopold,18677 Old State Road 37,,Education,,https://www.linkedin.com/company/perry-central-jr-sr-high-school,Tier 3
"Elo Engineering, Incorporated",150,elo1.com,,Minnesota,Minneapolis,7770 Ranchers Rd Ne,,Machinery Manufacturing,,https://www.linkedin.com/company/elo-engineering-inc.,Tier 3
City Limits,153,citylimits.org,,New York,New York,,,Internet News,929388,https://www.linkedin.com/company/city-limits-new-york-,Tier 3
Redlands Christian Migrant Association,154,rcma.org,,Florida,Naples,402 West Main Street,34142,Community Services,,https://www.linkedin.com/company/rcma1965,Tier 3
Evergreen Beauty College,154,evergreenbeauty.edu,,District of Columbia,,,,Higher Education,,https://www.linkedin.com/company/evergreen-beauty-college,Tier 3
Truck Enterprises,155,truckenterprises.com,,Virginia,Harrisonburg,3440 S Main St,22801,Truck Transportation,2576403,https://www.linkedin.com/company/truck-enterprises-inc-,Tier 3
Radiation Safety & Control Services,156,radsafety.com,,New Hampshire,Seabrook,93 Ledge Rd,,Environmental Services,999136,https://www.linkedin.com/company/radiation-safety-&-control-services-inc-rscs-,Tier 3
G.a. Productions  Da Ellio's Pizza,156,ellios.com,,Florida,St Augustine,,7644,Food and Beverage Services,,https://www.linkedin.com/company/g-a-productions-llc-d-b-a-ellio-s-pizza,Tier 3
Adzzoo,156,adzzoo.net,,Missouri,Festus,,,Advertising Services,,https://www.linkedin.com/company/adzzoo_5,Tier 3
Spectra Metal Sales,156,spectraguttersystems.com,,Georgia,Atlanta,,30336-2706,Wholesale Metals and Minerals,,https://www.linkedin.com/company/spectra-gutter-systems,Tier 3
Taylor Oil Co. Inc.,156,tayloroilco.com,,New Jersey,Somerville,77 2Nd St,8876,Oil and Gas,,https://www.linkedin.com/company/taylor-oil-co.,Tier 3
Hello Direct,157,hellodirect.com,,Florida,Cape Canaveral,77 Northeastern Boulevard,3062,Telecommunications,9823,https://www.linkedin.com/company/hello-direct,Tier 3
Campus Federal,157,campusfederal.org,,Louisiana,Baton Rouge,1501 Kings Hwy,71103,Banking,1803143,https://www.linkedin.com/company/campus-federal-credit-union,Tier 3
Automatic Spring Products,158,automaticspring.com,,Michigan,Grand Haven,803 Taylor Avenue,49417,Spring and Wire Product Manufacturing,6351686,https://www.linkedin.com/company/automatic-spring-products-corp-,Tier 3
Newark Charter School,158,ncsfund.org,,Delaware,Newark,,,Higher Education,15653773,https://www.linkedin.com/company/newark-charter-school,Tier 3
Rapid Transport,159,rapidtransport.com,,Texas,Pharr,3814 North Cage Boulevard,78577,Truck Transportation,11647414,https://www.linkedin.com/company/rapid-transport,Tier 3
BAYS,159,bayskids.org,,Florida,Orlando,3104 Cherry Palm Drive,33619,Individual and Family Services,424819,https://www.linkedin.com/company/bay-area-youth-services,Tier 3
Village Baptist Church,159,thevillagebc.church,,North Carolina,Fayetteville,906 South McPherson Church Road,28303,Religious Institutions,78246,https://www.linkedin.com/company/village-baptist-church,Tier 3
Adams Central Community School,160,accs.k12.in.us,,Indiana,Monroe,222 W Washington St,,Education,,https://www.linkedin.com/company/adams-central-high-school-77,Tier 3
"Texas Pipe Works, Inc.",160,texaspipeworks.com,,Texas,Longview,2810 Bill Owens Pkwy Ste 400,,Oil and Gas,,https://www.linkedin.com/company/texas-pipe-works-inc,Tier 3
Immaculate Heart of Mary Parish,162,ihmparish.com,,Michigan,,,,Religious Institutions,1939930,https://www.linkedin.com/company/immaculate-heart-of-mary-parish,Tier 3
Platinum Security,163,platinum-security.net,,Maryland,Baltimore,,,Security and Investigations,718985,https://www.linkedin.com/company/platinum-security,Tier 3
Salt Life Food Shack,165,saltlifefoodshack.com,,Florida,Jacksonville Beach,16 Downing Drive,36869,Food and Beverage Services,3136121,https://www.linkedin.com/company/salt-life-food-shack,Tier 3
Sandy Valley Local School District,165,sandyvalleylocal.org,,Ohio,Magnolia,5362 State Route 183 Ne,,Education,,https://www.linkedin.com/company/sandy-valley-high-school-03,Tier 3
Collaborative Support Programs of Nj,166,cspnj.org,,New Jersey,Freehold,11 Spring St,7728,Community Services,651069,https://www.linkedin.com/company/cspnj,Tier 3
North Country Community College,166,nccc.edu,,New York,Saranac Lake,23 Santanoni Avenue,12983,Higher Education,836192,https://www.linkedin.com/company/north-country-community-college,Tier 3
Detyens Shipyards,167,detyens.com,,South Carolina,North Charleston,1670 Dry Dock Avenue,29405,Shipbuilding,57845288,https://www.linkedin.com/company/detyens-shipyards-inc.,Tier 3
Radford City Schools,168,rcps.org,,Virginia,Radford,151 George St,24141,Education Administration Programs,,https://www.linkedin.com/company/radford-city-public-schools,Tier 3
West Fargo City of,168,westfargopolice.com,,North Dakota,West Fargo,2515 6Th St E,,Executive Offices,,https://www.linkedin.com/company/west-fargo-police,Tier 3
Harbortouch,169,harbortouch.com,,Pennsylvania,Allentown,2202 North Irving Street,18109,Computer Hardware Manufacturing,1844935,https://www.linkedin.com/company/harbortouch,Tier 3
Beverly,169,beverlyknits.com,,North Carolina,Gastonia,1675 Garfield Dr,28052,Textile Manufacturing,5828988,https://www.linkedin.com/company/beverly-knits-inc,Tier 3
New England Cancer Specialists,169,newenglandcancerspecialists.org,,Maine,Saco,100 Campus Drive,4074,Medical Practices,3507086,https://www.linkedin.com/company/newenglandcancerspecialists,Tier 3
